,사업장명,업종,적용일자,직원수,연금보험료,신규취득자수,상실가입자수,년도
0,（주）비바리퍼블리카,응용 소프트웨어 개발 및 공급업,2013-08-01,310,118457320,18,12,2019
1,（주）비바리퍼블리카,응용 소프트웨어 개발 및 공급업,2013-08-01,158,57709520,5,3,2018
2,（주）비바리퍼블리카,응용 소프트웨어 개발 및 공급업,2013-08-01,103,34070000,5,2,2017
3,（주）비바리퍼블리카,응용 소프트웨어 개발 및 공급업,2013-08-01,60,17035140,5,3,2016
4,（주）비바리퍼블리카,응용 소프트웨어 개발 및 공급업,2013-08-01,27,6171340,0,2,2015
5,주식회사쏘카,자동차 임대업(렌트카),2011-12-13,364,99589840,7,5,2019
6,주식회사쏘카,자동차 임대업(렌트카),2011-12-13,281,66470520,16,12,2018
7,주식회사쏘카,자동차 임대업(렌트카),2011-12-13,287,53342760,8,10,2017
8,주식회사쏘카,자동차 임대업(렌트카),2011-12-13,271,49231800,27,11,2016
9,주식회사쏘카,자동차 임대업(렌트카),2011-12-13,89,18339080,10,4,2015
10,주식회사 무신사,응용 소프트웨어 개발 및 공급업,2012-07-01,332,90698840,12,5,2019
11,주식회사 무신사,응용 소프트웨어 개발 및 공급업,2012-07-01,174,41011340,12,3,2018
12,주식회사 무신사,응용 소프트웨어 개발 및 공급업,2012-07-01,100,22063880,2,0,2017
13,주식회사 무신사,응용 소프트웨어 개발 및 공급업,2012-07-01,84,16270180,5,2,2016
14,주식회사 무신사,응용 소프트웨어 개발 및 공급업,2012-07-01,61,11108000,0,0,2015
15,(주)크래프톤,응용 소프트웨어 개발 및 공급업,2007-03-28,718,261583980,15,10,2019
16,(주)크래프톤,응용 소프트웨어 개발 및 공급업,2007-03-28,570,183057500,23,7,2018
17,(주)크래프톤,응용 소프트웨어 개발 및 공급업,2007-03-28,404,121350180,22,7,2017
18,(주)크래프톤,응용 소프트웨어 개발 및 공급업,2007-03-28,257,71320080,9,1,2016
19,(주)크래프톤,응용 소프트웨어 개발 및 공급업,2007-03-28,244,68539320,6,2,2015
20,(주)야놀자,전자상거래 소매업,2007-02-01,752,239361520,64,20,2019
21,(주)야놀자,전자상거래 소매업,2007-02-01,414,117630180,67,17,2018
22,(주)야놀자,전자상거래 소매업,2007-02-01,281,71755460,12,7,2017
23,(주)야놀자,전자상거래 소매업,2007-02-01,218,51018680,15,8,2016
24,(주)야놀자,전자상거래 소매업,2007-02-01,130,29811500,19,1,2015
25,(주)에이프로젠,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,2000-04-04,178,41639000,8,1,2019
26,(주)에이프로젠,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,2000-04-04,128,30339500,1,3,2018
27,(주)에이프로젠,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,2000-04-04,145,33793200,0,2,2017
28,(주)에이프로젠,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,2000-04-04,119,25683640,16,0,2016
29,(주)에이프로젠,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,2000-04-04,85,18364400,0,2,2015
30,（주）지피클럽,컴퓨터 및 주변장치  소프트웨어 도매업,2004-03-03,113,27446860,5,0,2019
31,（주）지피클럽,컴퓨터 및 주변장치  소프트웨어 도매업,2004-03-03,47,10911720,3,0,2018
32,（주）지피클럽,컴퓨터 및 주변장치  소프트웨어 도매업,2004-03-03,12,2694720,1,0,2017
33,（주）지피클럽,컴퓨터 및 주변장치  소프트웨어 도매업,2004-03-03,13,2491260,1,0,2016
34,（주）지피클럽,컴퓨터 및 주변장치  소프트웨어 도매업,2004-03-03,8,1742760,0,2,2015
